[2017-12-12 14:13:55,927] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 14:26:14,599] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:d729e9fa97c9e2e57b2800d91b6ba18e
[2017-12-12 14:26:14,604] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1a709f62d9d9e24a7175dd16ab9bb1cf
[2017-12-12 14:26:14,635] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:26:26,323] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:26:26,337] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:26:26,367] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:d729e9fa97c9e2e57b2800d91b6ba18e
[2017-12-12 14:26:26,368] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1a709f62d9d9e24a7175dd16ab9bb1cf
[2017-12-12 14:26:26,401] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:26:52,075] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:27:03,703] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 14:27:03,720] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:27:03,762] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:27:10,685] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:27:10,694] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:27:10,721] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:d729e9fa97c9e2e57b2800d91b6ba18e
[2017-12-12 14:27:10,722] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1a709f62d9d9e24a7175dd16ab9bb1cf
[2017-12-12 14:27:10,741] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:27:29,927] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:27:29,948] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:27:29,990] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:d729e9fa97c9e2e57b2800d91b6ba18e
[2017-12-12 14:27:29,991] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1a709f62d9d9e24a7175dd16ab9bb1cf
[2017-12-12 14:27:30,013] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:27:45,266] INFO [djangoblog.comment_list:106] set article comments:1
[2017-12-12 14:27:45,274] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:27:45,297] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1e44776045bdad8c3e8d44ef65e85cfa
[2017-12-12 14:28:17,185] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 14:28:17,198] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:28:17,241] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:28:44,775] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:28:44,785] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:28:44,816] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:d729e9fa97c9e2e57b2800d91b6ba18e
[2017-12-12 14:28:44,817] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1a709f62d9d9e24a7175dd16ab9bb1cf
[2017-12-12 14:28:44,839] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:35:43,090] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:35:43,101] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:35:43,164] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:35:43,165] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:35:43,203] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:35:46,507] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:142a93e4673ea080723d0b6be4619cca
[2017-12-12 14:35:46,511] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:category_list_spark_1
[2017-12-12 14:35:46,519] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:35:46,560] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:36:07,039] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:10,521] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:18,081] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:24,385] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:28,979] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:35,132] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:47,233] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 14:36:47,246] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:47,291] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:36:51,608] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:36:51,616] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:51,643] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:36:51,644] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:36:51,687] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:36:59,025] INFO [djangoblog.comment_list:106] set article comments:1
[2017-12-12 14:36:59,033] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:36:59,060] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:21a461bd49f8f88ddbf74b562d1933fc
[2017-12-12 14:36:59,061] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:b76737731984efe0457d29a9e1fb0cec
[2017-12-12 14:36:59,078] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:37:20,283] INFO [djangoblog.comment_list:106] set article comments:1
[2017-12-12 14:37:20,298] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:37:20,343] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:21a461bd49f8f88ddbf74b562d1933fc
[2017-12-12 14:37:20,344] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:b76737731984efe0457d29a9e1fb0cec
[2017-12-12 14:37:20,375] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:37:34,196] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:author_xlhu_1
[2017-12-12 14:37:34,210] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:37:34,266] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:38:31,678] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:38:31,713] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:38:42,865] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 14:38:42,878] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:38:42,923] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:40:43,181] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 14:40:43,194] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:40:43,242] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:40:52,007] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:40:52,015] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:40:52,045] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:40:52,045] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:40:52,053] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:46:55,556] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:46:55,563] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:46:55,589] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:46:55,590] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:46:55,596] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:47:42,937] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:47:42,945] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:47:42,972] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:47:42,972] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:47:42,979] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:50:33,658] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:50:33,665] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:50:33,693] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:50:33,694] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:50:33,701] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:53:03,165] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:53:03,173] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:53:03,209] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:53:03,209] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:53:03,218] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:54:15,396] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:54:15,403] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:54:15,428] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:54:15,429] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:54:15,436] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:54:43,285] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:54:43,293] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:54:43,321] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:54:43,321] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:54:43,330] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:56:47,472] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:56:47,480] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:56:47,508] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:56:47,508] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:56:47,516] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:57:21,240] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:57:21,247] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:57:21,274] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:57:21,274] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:57:21,281] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 14:58:38,675] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 14:58:38,686] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 14:58:38,719] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 14:58:38,719] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 14:58:38,728] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:00:45,493] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:00:45,506] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:00:45,556] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:00:54,657] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:10,014] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:17,449] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:01:17,461] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:17,504] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:01:38,922] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:45,456] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:48,263] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:55,637] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:58,408] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:01:58,423] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:01:58,477] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:02:06,037] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:20,320] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:29,966] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:38,399] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:41,556] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:46,023] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:49,800] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:02:49,813] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:02:49,872] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:03:21,001] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:03:24,256] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:03:28,311] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:03:28,324] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:03:28,367] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:04:22,733] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:04:22,746] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:04:22,789] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:04:42,404] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:04:42,417] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:04:42,465] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:07:01,168] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:07:01,183] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:07:01,236] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:09:34,185] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:09:34,198] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:09:34,248] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:09:47,854] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:09:47,867] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:09:47,915] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:10:43,589] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:10:52,822] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:10:55,676] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:10:55,688] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:10:55,744] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:11:20,051] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:142a93e4673ea080723d0b6be4619cca
[2017-12-12 15:11:20,056] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:category_list_spark_1
[2017-12-12 15:11:20,061] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:11:20,100] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:11:32,511] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:142a93e4673ea080723d0b6be4619cca
[2017-12-12 15:11:32,515] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:category_list_spark_1
[2017-12-12 15:11:32,520] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:11:32,560] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:11:44,862] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:11:46,906] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:14:42,598] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:142a93e4673ea080723d0b6be4619cca
[2017-12-12 15:14:42,601] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:category_list_spark_1
[2017-12-12 15:14:42,605] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:14:42,639] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:14:49,422] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 15:14:49,430] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:14:49,458] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 15:14:49,458] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 15:14:49,466] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:24:00,746] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 15:24:00,753] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:24:00,782] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 15:24:00,782] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 15:24:00,790] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:24:17,545] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:24:17,557] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:24:17,602] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:25:23,429] INFO [djangoblog.comment_list:106] set article comments:2
[2017-12-12 15:25:23,435] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:25:23,460] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:e5a98ce4ffc9edbfe72a5ff931c3483e
[2017-12-12 15:25:23,461] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:1633874c66593d89c6c5fb826015e106
[2017-12-12 15:25:23,466] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:25:35,695] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:142a93e4673ea080723d0b6be4619cca
[2017-12-12 15:25:35,698] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:category_list_spark_1
[2017-12-12 15:25:35,702] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:25:35,734] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:29:24,896] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:29:24,909] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:29:24,954] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 15:59:08,054] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 15:59:08,090] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 15:59:08,205] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:01:29,948] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 16:01:29,981] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:01:30,083] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:02:59,232] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 16:02:59,246] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:02:59,296] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:03:28,967] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 16:03:28,979] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:03:29,019] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:03:55,622] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 16:03:55,635] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:03:55,674] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:04:31,213] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:index_1
[2017-12-12 16:04:31,225] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:04:31,314] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:04:59,893] INFO [djangoblog.comment_list:106] set article comments:1
[2017-12-12 16:04:59,900] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:04:59,927] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:44a04fd3466cd9171edfb2a791cf8985
[2017-12-12 16:04:59,927] INFO [djangoblog.news:62] cache_decorator set cache:get_category_tree key:9c22121f93b7033377bd91a2e79f7ccb
[2017-12-12 16:04:59,934] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:05:05,188] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:93b2d2ec0f625a27ed05265152ab2538
[2017-12-12 16:05:05,191] INFO [djangoblog.get_queryset_from_cache:62] set view cache.key:category_list_markdown_1
[2017-12-12 16:05:05,196] INFO [djangoblog.seo_processor:28] set processor cache.
[2017-12-12 16:05:05,239] INFO [djangoblog.load_sidebar:124] load sidebar
[2017-12-12 16:05:17,367] INFO [djangoblog.news:62] cache_decorator set cache:get_sub_categorys key:93b2d2ec0f625a27ed05265152ab2538
